Activity,Level,Requirement,Materials Used,Base Exp,Base Steps,Base Exp/Step,Min Steps,Category,Skill,Location
Make a Wooden Sword,1.0,Basic Sawmill,2x Birch Plank,40.0,140,0.286,94,recipe,Carpentry,-
Make a Wooden Shield,1.0,Basic Sawmill,2x Birch Plank,40.0,140,0.286,94,recipe,Carpentry,-
Cut a Birch Plank,1.0,Basic Sawmill,2x Birch Logs,28.0,90,0.311,60,recipe,Carpentry,-
Create a Birch Plank (Scrap),1.0,Basic Sawmill,5x Wood Scrap,28.0,99,0.283,55,recipe,Carpentry,-
Cut a Pine Plank,10.0,Basic Sawmill,2x Pine Logs,39.0,105,0.371,66,recipe,Carpentry,-
Create a Pine Plank (Scrap),10.0,Basic Sawmill,10x Wood Scrap,39.0,115,0.339,72,recipe,Carpentry,-
Cut a Spruce Plank,20.0,Basic Sawmill,2x Spruce Logs,53.0,120,0.442,71,recipe,Carpentry,-
Create a Spruce Plank (Scrap),20.0,Basic Sawmill,20x Wood Scrap,53.0,132,0.402,78,recipe,Carpentry,-
Cut an Oak Plank,25.0,Basic Sawmill,2x Oak Logs,64.0,125,0.512,74,recipe,Carpentry,-
Create a Oak Plank (Scrap),25.0,Basic Sawmill,30x Wood Scrap,64.0,137,0.467,81,recipe,Carpentry,-
Cut a Maple Plank,30.0,Basic Sawmill,2x Maple Logs,77.0,135,0.57,75,recipe,Carpentry,-
Create a Maple Plank (Scrap),30.0,Basic Sawmill,40x Wood Scrap,77.0,148,0.52,83,recipe,Carpentry,-
Cut a Teak Plank,40.0,Basic Sawmill,2x Teak Logs,90.0,145,0.621,77,recipe,Carpentry,-
Create a Teak Plank (Scrap),40.0,Basic Sawmill,80x Wood Scrap,90.0,159,0.566,84,recipe,Carpentry,-
Cut a Willow Plank,40.0,Basic Sawmill,2x Willow Logs,81.0,131,0.618,69,recipe,Carpentry,-
Create a Willow Plank (Scrap),40.0,Basic Sawmill,80x Wood Scrap,81.0,144,0.563,76,recipe,Carpentry,-
Cut a Coral Plank,45.0,Basic Sawmill,2x Coral,112.0,150,0.747,79,recipe,Carpentry,-
Cut a Mangrove Plank,50.0,Advanced Sawmill,2x Mangrove Logs,114.0,160,0.713,80,recipe,Carpentry,-
Fry a Shrimp,1.0,Basic Kitchen,1x Raw Shrimp,26.0,65,0.4,44,recipe,Cooking,-
Fry a Perch,1.0,Basic Kitchen,1x Raw Perch,28.0,70,0.4,47,recipe,Cooking,-
Brew Nettle Tea,3.0,Basic Kitchen,2x Nettle,31.0,75,0.413,50,recipe,Cooking,-
Fry a Carp,5.0,Basic Kitchen,1x Raw Carp,33.0,75,0.44,47,recipe,Cooking,-
Bake Bread,8.0,Basic Kitchen,1x Wheat,23.0,50,0.46,32,recipe,Cooking,-
Fry a Pike,10.0,Basic Kitchen,1x Raw Pike,40.0,85,0.471,54,recipe,Cooking,-
Make Porridge,15.0,Basic Kitchen,1x Wheat,50.0,93,0.538,59,recipe,Cooking,-
Make Pancakes,17.0,Basic Kitchen,2x Wheat 1x Milk,56.0,100,0.56,59,recipe,Cooking,-
Fry a Trout,20.0,Basic Kitchen,1x Raw Trout,52.0,90,0.578,50,recipe,Cooking,-
Make Trout Soup,22.0,Basic Kitchen,1x Raw Trout,86.0,140,0.614,83,recipe,Cooking,-
Mix Chocolate Milk,22.0,Basic Kitchen,1x Chocolate 1x Milk,46.0,75,0.613,45,recipe,Cooking,-
Bake a Bagel,25.0,Basic Kitchen,2x Wheat,66.0,100,0.66,32,recipe,Cooking,-
Bake Pickles,27.0,Basic Kitchen,1x Cucumber 1x Salt Crystal,68.0,100,0.68,59,recipe,Cooking,-
Fry a Salmon,30.0,Basic Kitchen,1x Raw Salmon,67.0,100,0.67,56,recipe,Cooking,-
Fry a Jellyfish,30.0,Basic Kitchen,1x Raw Jellyfish,73.0,100,0.73,56,recipe,Cooking,-
Make Mushroom Curry,32.0,Basic Kitchen,2x Mushroom 1x Tomato,132.0,174,0.759,97,recipe,Cooking,-
Fry a Lobster,35.0,Basic Kitchen,1x Raw Lobster,83.0,105,0.79,56,recipe,Cooking,-
Harden Kelp,35.0,Basic Kitchen,1x Kelp,57.0,70,0.814,42,recipe,Cooking,-
Prepare a Kelp Roll,36.0,Basic Kitchen,3x Sweet Kelp,82.0,100,0.82,56,recipe,Cooking,-
Make a Jelly Sandwich,37.0,Basic Kitchen,2x Berries 2x Bread,148.0,175,0.846,93,recipe,Cooking,-
Assemble Dynamite,38.0,Basic Kitchen,2x Salt Crystal 1x Volcanic Ash,172.0,200,0.86,106,recipe,Cooking,-
Fry a Swordfish,40.0,Basic Kitchen,1x Raw Swordfish,94.0,110,0.855,58,recipe,Cooking,-
Fry a Squid,45.0,Basic Kitchen,1x Raw Squid,130.0,130,1.0,58,recipe,Cooking,-
Make a Sweet Carrot Pie,45.0,Basic Kitchen,1x Carrot 1x Honeycomb 1x Wheat 1x Egg 1x Potato,285.0,300,0.95,150,recipe,Cooking,-
Fry a Stingray,45.0,Basic Kitchen,1x Raw Stingray,120.0,120,1.0,64,recipe,Cooking,-
Brew Saltrum,45.0,Basic Kitchen,1x Salty Hops 1x Salt Crystal,120.0,125,0.96,66,recipe,Cooking,-
Prepare an Underwater Salad,46.0,Basic Kitchen,1x Sea Spinach 1x Sea Cabbage 1x Underwater Lotus,123.0,129,0.953,68,recipe,Cooking,-
Make a Fried Fish Sandwich,46.0,Basic Kitchen,1x Raw Swordfish 2x Bread,224.0,220,1.018,110,recipe,Cooking,-
Fry a Shark,50.0,Advanced Kitchen,1x Raw Shark,143.0,130,1.1,65,recipe,Cooking,-
Fry a Anglerfish,60.0,Advanced Kitchen,1x Raw Anglerfish,204.0,150,1.36,72,recipe,Cooking,-
Craft a Basic Hatchet,1.0,,2x Stone 1x Wooden Stick,44.0,110,0.4,74,recipe,Crafting,-
Craft a Basic Pickaxe,1.0,,2x Stone 1x Wooden Stick,44.0,110,0.4,74,recipe,Crafting,-
Craft a Basic Sickle,1.0,Basic Workshop,1x Stone 1x Wooden Stick 1x Rope,44.0,110,0.4,74,recipe,Crafting,-
Spin Flax into Rope,1.0,Basic Workshop,2x Flax,15.0,60,0.25,40,recipe,Crafting,-
Craft a Copper Hatchet,1.0,Basic Workshop,2x Copper Bar 1x Birch Plank,51.0,120,0.425,80,recipe,Crafting,-
Craft a Copper Pickaxe,1.0,Basic Workshop,2x Copper Bar 1x Birch Plank,50.0,120,0.417,80,recipe,Crafting,-
Craft a Copper Sickle,1.0,Basic Workshop,1x Copper Bar 1x Birch Plank 1x Rope,51.0,120,0.425,80,recipe,Crafting,-
Weave a Basic Fishing Net,1.0,,1x Rope,28.0,75,0.373,47,recipe,Crafting,-
Craft a Wooden Fishing Pole,4.0,Basic Workshop,3x Wooden Stick 1x Fishing Line,29.0,70,0.414,44,recipe,Crafting,-
Craft a Bag of Rocks,5.0,,1x Sturdy Branch 1x Large Stone,120.0,200,0.6,125,recipe,Crafting,-
Craft a Bronze Hatchet,10.0,Basic Workshop,2x Bronze Bar 1x Pine Plank,66.0,130,0.508,82,recipe,Crafting,-
Craft a Bronze Pickaxe,10.0,Basic Workshop,2x Bronze Bar 1x Pine Plank,66.0,130,0.508,82,recipe,Crafting,-
Craft a Pine Fishing Rod,10.0,Basic Workshop,3x Pine Plank 1x Fishing Line,45.0,90,0.5,57,recipe,Crafting,-
Weave a Large Fishing Net,15.0,Basic Workshop,2x Rope,48.0,95,0.505,53,recipe,Crafting,-
Craft an Iron Hatchet,20.0,Basic Workshop,2x Iron Bar 1x Spruce Plank,86.0,140,0.614,83,recipe,Crafting,-
Craft an Iron Pickaxe,20.0,Basic Workshop,2x Iron Bar 1x Spruce Plank,89.0,145,0.614,86,recipe,Crafting,-
Craft an Iron Sickle,20.0,Basic Workshop,1x Iron Bar 1x Spruce Plank 1x Rope,86.0,140,0.614,83,recipe,Crafting,-
Craft a Kelp Diving Mask,25.0,Basic Workshop,2x Hardened Kelp,99.0,150,0.66,89,recipe,Crafting,-
Craft a Kelp Diving Shirt,25.0,Basic Workshop,2x Hardened Kelp,99.0,150,0.66,89,recipe,Crafting,-
Craft a Kelp Diving Pants,25.0,Basic Workshop,2x Hardened Kelp,99.0,150,0.66,89,recipe,Crafting,-
Craft a Fishing Spear,25.0,Basic Workshop,1x Iron Bar 2x Maple Plank,95.0,130,0.731,73,recipe,Crafting,-
Craft a Steel Hatchet,30.0,Basic Workshop,2x Steel Bar 1x Maple Plank,111.0,155,0.716,87,recipe,Crafting,-
