Item,Skill_req,Level,Slot,Craft_loot,Quality,Item_type,Attribute,Boost,Type_boost,Skill_boost,Note
Oxygen Tank,Global,,Back,Loot,,"Diving Gear Set, Advanced Diving Gear Set, Expert Diving Gear Set",,,,,
Ring of Homesickness,Global,,Ring,Loot,,,,,,,
Adjustable Wrench,Crafting,20,Tool,Loot,,"Wrench, Crafting Tool",Work Efficiency,7,Percentage,Crafting,While doing  Crafting
Adjustable Wrench,Crafting,20,Tool,Loot,,"Wrench, Crafting Tool",Crafting Outcome,20,Flat,Global,Global
Adjustable Wrench,Crafting,20,Tool,Loot,,"Wrench, Crafting Tool",No Materials Consumed,4,Percentage,Crafting,While doing  Crafting
Adoring Fan Statue,Global,,Tool,Loot,,,Double Action,2,Percentage,Global,Global
Adoring Fan Statue,Global,,Tool,Loot,,,Chance to Find Adventurers' Guild Token,2,Percentage,,Global   1  Adventurers' Guild Token
Adventuring Fishing Pole,Fishing,15,Tool,Loot,,"Fishing Rod, Adventuring Tool Set",Double Action,2,Percentage,Fishing,While doing  Fishing
Adventuring Fishing Pole,Fishing,15,Tool,Loot,,"Fishing Rod, Adventuring Tool Set",Double Rewards,3,Percentage,Fishing,While doing  Fishing
Adventuring Fishing Pole,Fishing,15,Tool,Loot,,"Fishing Rod, Adventuring Tool Set",Fine Material Finding,9,Percentage,Fishing,While doing  Fishing
Adventuring Fishing Pole,Fishing,15,Tool,Loot,,"Fishing Rod, Adventuring Tool Set",Chest Finding,12,Percentage,Fishing,While doing  Fishing
Adventuring Fishing Pole,Fishing,15,Tool,Loot,,"Fishing Rod, Adventuring Tool Set",Bonus Experience,1,Flat,Fishing,While doing  Fishing
Adventuring Fishing Pole,Fishing,15,Tool,Loot,,"Fishing Rod, Adventuring Tool Set",Find Collectibles,6,Percentage,Fishing,While doing  Fishing
Adventuring Frying Pan,Cooking,15,Tool,Loot,,"Cooking Pan, Adventuring Tool Set",Double Action,3,Percentage,Cooking,While doing  Cooking
Adventuring Frying Pan,Cooking,15,Tool,Loot,,"Cooking Pan, Adventuring Tool Set",No Materials Consumed,9,Percentage,Cooking,While doing  Cooking
Adventuring Frying Pan,Cooking,15,Tool,Loot,,"Cooking Pan, Adventuring Tool Set",Double Rewards,4,Percentage,Cooking,While doing  Cooking
Adventuring Frying Pan,Cooking,15,Tool,Loot,,"Cooking Pan, Adventuring Tool Set",Chest Finding,15,Percentage,Cooking,While doing  Cooking
Adventuring Frying Pan,Cooking,15,Tool,Loot,,"Cooking Pan, Adventuring Tool Set",Bonus Experience,1,Flat,Cooking,While doing  Cooking
Adventuring Hammer,Smithing,15,Tool,Loot,,"Smithing Hammer, Adventuring Tool Set",Crafting Outcome,15,Flat,Global,Global
Adventuring Hammer,Smithing,15,Tool,Loot,,"Smithing Hammer, Adventuring Tool Set",Double Action,2,Percentage,Smithing,While doing  Smithing
Adventuring Hammer,Smithing,15,Tool,Loot,,"Smithing Hammer, Adventuring Tool Set",No Materials Consumed,7,Percentage,Smithing,While doing  Smithing
Adventuring Hammer,Smithing,15,Tool,Loot,,"Smithing Hammer, Adventuring Tool Set",Double Rewards,3,Percentage,Smithing,While doing  Smithing
Adventuring Hammer,Smithing,15,Tool,Loot,,"Smithing Hammer, Adventuring Tool Set",Chest Finding,15,Percentage,Smithing,While doing  Smithing
Adventuring Hammer,Smithing,15,Tool,Loot,,"Smithing Hammer, Adventuring Tool Set",Bonus Experience,1,Flat,Smithing,While doing  Smithing
Adventuring Hatchet,Woodcutting,15,Tool,Loot,,"Woodcutting Hatchet, Adventuring Tool Set",Double Action,2,Percentage,Woodcutting,While doing  Woodcutting
Adventuring Hatchet,Woodcutting,15,Tool,Loot,,"Woodcutting Hatchet, Adventuring Tool Set",Fine Material Finding,9,Percentage,Woodcutting,While doing  Woodcutting
Adventuring Hatchet,Woodcutting,15,Tool,Loot,,"Woodcutting Hatchet, Adventuring Tool Set",Chest Finding,12,Percentage,Woodcutting,While doing  Woodcutting
Adventuring Hatchet,Woodcutting,15,Tool,Loot,,"Woodcutting Hatchet, Adventuring Tool Set",Bonus Experience,1,Flat,Woodcutting,While doing  Woodcutting
Adventuring Hatchet,Woodcutting,15,Tool,Loot,,"Woodcutting Hatchet, Adventuring Tool Set",Find Bird Nests,15,Percentage,Woodcutting,While doing  Woodcutting
Adventuring Hatchet,Woodcutting,15,Tool,Loot,,"Woodcutting Hatchet, Adventuring Tool Set",Find Collectibles,6,Percentage,Woodcutting,While doing  Woodcutting
Adventuring Pickaxe,Mining,15,Tool,Loot,,"Pickaxe, Adventuring Tool Set",Double Action,2,Percentage,Mining,While doing  Mining
Adventuring Pickaxe,Mining,15,Tool,Loot,,"Pickaxe, Adventuring Tool Set",Fine Material Finding,9,Percentage,Mining,While doing  Mining
Adventuring Pickaxe,Mining,15,Tool,Loot,,"Pickaxe, Adventuring Tool Set",Chest Finding,12,Percentage,Mining,While doing  Mining
Adventuring Pickaxe,Mining,15,Tool,Loot,,"Pickaxe, Adventuring Tool Set",Bonus Experience,1,Flat,Mining,While doing  Mining
Adventuring Pickaxe,Mining,15,Tool,Loot,,"Pickaxe, Adventuring Tool Set",Find Gems,15,Percentage,Mining,While doing  Mining
Adventuring Pickaxe,Mining,15,Tool,Loot,,"Pickaxe, Adventuring Tool Set",Find Collectibles,6,Percentage,Mining,While doing  Mining
Adventuring Saw,Carpentry,15,Tool,Loot,,"Saw, Adventuring Tool Set",Double Action,3,Percentage,Carpentry,While doing  Carpentry
Adventuring Saw,Carpentry,15,Tool,Loot,,"Saw, Adventuring Tool Set",No Materials Consumed,9,Percentage,Carpentry,While doing  Carpentry
Adventuring Saw,Carpentry,15,Tool,Loot,,"Saw, Adventuring Tool Set",Double Rewards,4,Percentage,Carpentry,While doing  Carpentry
Adventuring Saw,Carpentry,15,Tool,Loot,,"Saw, Adventuring Tool Set",Chest Finding,15,Percentage,Carpentry,While doing  Carpentry
Adventuring Saw,Carpentry,15,Tool,Loot,,"Saw, Adventuring Tool Set",Bonus Experience,1,Flat,Carpentry,While doing  Carpentry
Adventuring Sickle,Foraging,15,Tool,Loot,,"Sickle, Adventuring Tool Set, Foraging Tool",Double Action,2,Percentage,Foraging,While doing  Foraging
Adventuring Sickle,Foraging,15,Tool,Loot,,"Sickle, Adventuring Tool Set, Foraging Tool",Double Rewards,3,Percentage,Foraging,While doing  Foraging
Adventuring Sickle,Foraging,15,Tool,Loot,,"Sickle, Adventuring Tool Set, Foraging Tool",Fine Material Finding,9,Percentage,Foraging,While doing  Foraging
Adventuring Sickle,Foraging,15,Tool,Loot,,"Sickle, Adventuring Tool Set, Foraging Tool",Chest Finding,12,Percentage,Foraging,While doing  Foraging
Adventuring Sickle,Foraging,15,Tool,Loot,,"Sickle, Adventuring Tool Set, Foraging Tool",Bonus Experience,1,Flat,Foraging,While doing  Foraging
Adventuring Sickle,Foraging,15,Tool,Loot,,"Sickle, Adventuring Tool Set, Foraging Tool",Find Collectibles,6,Percentage,Foraging,While doing  Foraging
Adventuring Wrench,Crafting,15,Tool,Loot,,"Wrench, Adventuring Tool Set, Crafting Tool",Crafting Outcome,20,Flat,Global,Global
Adventuring Wrench,Crafting,15,Tool,Loot,,"Wrench, Adventuring Tool Set, Crafting Tool",Double Action,2,Percentage,Crafting,While doing  Crafting
Adventuring Wrench,Crafting,15,Tool,Loot,,"Wrench, Adventuring Tool Set, Crafting Tool",No Materials Consumed,7,Percentage,Crafting,While doing  Crafting
Adventuring Wrench,Crafting,15,Tool,Loot,,"Wrench, Adventuring Tool Set, Crafting Tool",Double Rewards,3,Percentage,Crafting,While doing  Crafting
Adventuring Wrench,Crafting,15,Tool,Loot,,"Wrench, Adventuring Tool Set, Crafting Tool",Chest Finding,15,Percentage,Crafting,While doing  Crafting
Adventuring Wrench,Crafting,15,Tool,Loot,,"Wrench, Adventuring Tool Set, Crafting Tool",Bonus Experience,1,Flat,Crafting,While doing  Crafting
